127.0.0.1 - - [30/Sep/2022:14:18:02 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Sep/2022:14:18:03 +0900] "GET /Homework/ch5/request_process.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [30/Sep/2022:14:18:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:06:52 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:06:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:09:42 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:12:03 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:12:49 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:12:52 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:13:43 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:35:37 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [30/Sep/2022:15:36:07 +0900] "POST /ch06/form01_process.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:01:36 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:01:59 +0900] "POST /ch06/form01_process.jsp HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:12:21 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:12:36 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:13 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:17 +0900] "GET /ch06/form02_process.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:23 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:40 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:40 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:40 +0900] "GET /ch06/form01.jsp HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:14:51 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:15:04 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:15:59 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:20:30 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:26:32 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:26:36 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [30/Sep/2022:16:27:27 +0900] "POST /ch06/form02_process.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:00:23 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:02:46 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:02:47 +0900] "GET /ch06/product.jsp?id=P1234 HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:02:54 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:07:32 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:07:33 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:08:21 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:14:56 +0900] "GET /ch06/products.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [30/Sep/2022:17:15:10 +0900] "GET /ch06/addProduct.jsp HTTP/1.1" 404 1097
